"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.138084024E2,6.501851500E1,2.556839000E1,-8.074168587E0,1.684685826E0,3.576300049E2,1.899999976E0,3.700000048E0
1.148012347E2,6.501852667E1,2.556839000E1,-8.274172085E0,1.671817780E0,1.340000033E0,1.899999976E0,3.700000048E0
1.158081305E2,6.501854000E1,2.556838833E1,-8.974175898E0,1.722260594E0,9.999999776E-3,1.899999976E0,3.700000048E0
1.168078005E2,6.501855333E1,2.556839167E1,-9.374180266E0,1.698583364E0,1.500000000E0,1.799999952E0,3.700000048E0
1.178108292E2,6.501856833E1,2.556839000E1,-9.774184578E0,1.709392548E0,3.559400024E2,1.799999952E0,3.700000048E0
1.187973819E2,6.501858167E1,2.556839167E1,-1.027418876E1,1.716598630E0,1.399999976E0,1.799999952E0,3.700000048E0
1.197979193E2,6.501859500E1,2.556839167E1,-1.047419276E1,1.753658652E0,3.579400024E2,1.799999952E0,3.700000048E0
1.207891523E2,6.501861333E1,2.556839667E1,-1.057419881E1,1.775791645E0,3.640000105E0,1.799999952E0,3.700000048E0
1.217993735E2,6.501863000E1,2.556840000E1,-1.107420418E1,1.782483101E0,3.551700134E2,1.799999952E0,3.700000048E0
1.228030685E2,6.501864667E1,2.556840333E1,-1.137420955E1,1.790203929E0,3.525199890E2,1.899999976E0,3.700000048E0
1.238062639E2,6.501866000E1,2.556841000E1,-1.157421429E1,1.761894226E0,3.039999962E0,1.899999976E0,3.799999952E0
1.248000818E2,6.501868000E1,2.556840833E1,-1.177422010E1,1.750055552E0,3.527399902E2,1.899999976E0,3.799999952E0
1.257974704E2,6.501869833E1,2.556840333E1,-1.197422504E1,1.682626963E0,3.567399902E2,2.000000000E0,3.700000048E0
1.268126085E2,6.501871833E1,2.556839500E1,-1.197423011E1,1.627036929E0,3.559400024E2,2.000000000E0,3.700000048E0
1.278105815E2,6.501873333E1,2.556839333E1,-1.197423442E1,1.465414166E0,3.540299988E2,1.899999976E0,3.700000048E0
1.288104750E2,6.501874167E1,2.556839000E1,-1.207423655E1,1.334674716E0,3.522799988E2,1.899999976E0,3.700000048E0
1.298101842E2,6.501874833E1,2.556838667E1,-1.187423818E1,1.223494768E0,3.501099854E2,1.799999952E0,3.700000048E0
1.308124138E2,6.501876167E1,2.556838167E1,-1.177424162E1,1.182831645E0,2.500000000E-1,1.899999976E0,3.700000048E0
1.318032068E2,6.501878167E1,2.556838000E1,-1.167424743E1,1.235848069E0,3.586300049E2,1.899999976E0,3.700000048E0
1.328064034E2,6.501880667E1,2.556837833E1,-1.127425474E1,1.333130598E0,3.531700134E2,1.799999952E0,3.700000048E0
1.338112775E2,6.501883667E1,2.556837833E1,-1.117426374E1,1.456149220E0,3.554299927E2,2.000000000E0,3.700000048E0
1.348029105E2,6.501886833E1,2.556838000E1,-1.117427342E1,1.582256079E0,3.577500000E2,1.899999976E0,3.700000048E0
1.358088440E2,6.501890167E1,2.556837833E1,-1.077428323E1,1.758805871E0,3.528699951E2,2.000000000E0,3.700000048E0
1.368149443E2,6.501893333E1,2.556836833E1,-1.057429161E1,1.968812466E0,3.517099915E2,1.899999976E0,3.700000048E0
1.378089276E2,6.501896167E1,2.556836000E1,-1.047429918E1,2.244188786E0,3.504700012E2,2.099999905E0,3.700000048E0
1.388021391E2,6.501899000E1,2.556834667E1,-1.057430620E1,2.530374527E0,3.516499939E2,2.299999952E0,3.799999952E0
1.397824956E2,6.501901500E1,2.556833333E1,-1.097431222E1,2.808324337E0,3.494700012E2,2.200000048E0,3.799999952E0
1.408122505E2,6.501904500E1,2.556832333E1,-1.097432011E1,3.022448778E0,3.497699890E2,2.200000048E0,3.799999952E0
1.418136932E2,6.501908000E1,2.556831833E1,-1.127433005E1,3.166056395E0,3.549899902E2,2.099999905E0,3.700000048E0
1.428132200E2,6.501911167E1,2.556831000E1,-1.147433862E1,3.249956131E0,3.525199890E2,2.299999952E0,3.799999952E0
1.437977511E2,6.501914167E1,2.556829833E1,-1.157434632E1,3.316869974E0,3.522000122E2,2.400000095E0,3.799999952E0
1.448034565E2,6.501917000E1,2.556828833E1,-1.157435371E1,3.334370613E0,3.550700073E2,2.500000000E0,3.799999952E0
1.458058988E2,6.501919667E1,2.556828000E1,-1.177436079E1,3.365253925E0,3.527799988E2,2.500000000E0,3.900000095E0
1.468029120E2,6.501922667E1,2.556826833E1,-1.187436849E1,3.391504765E0,3.537000122E2,2.599999905E0,3.900000095E0
1.478054889E2,6.501926000E1,2.556826500E1,-1.177437812E1,3.427020550E0,3.537099915E2,2.500000000E0,3.900000095E0
1.488052335E2,6.501929500E1,2.556825167E1,-1.127438714E1,3.441432714E0,3.521600037E2,2.400000095E0,3.900000095E0
1.498034910E2,6.501933333E1,2.556824167E1,-9.874397534E0,3.437314987E0,3.461700134E2,2.200000048E0,3.799999952E0
1.508014587E2,6.501936500E1,2.556822500E1,-9.374405188E0,3.378636599E0,3.474599915E2,2.200000048E0,3.799999952E0
1.518159874E2,6.501939667E1,2.556821000E1,-9.274413027E0,3.315325737E0,3.487900085E2,2.099999905E0,3.799999952E0
1.528126809E2,6.501942833E1,2.556819833E1,-9.074421236E0,3.288560390E0,3.480299988E2,2.099999905E0,3.799999952E0
1.538057135E2,6.501946000E1,2.556818833E1,-8.774429630E0,3.255103350E0,3.480299988E2,2.000000000E0,3.799999952E0
1.548020059E2,6.501949167E1,2.556817333E1,-8.474437471E0,3.293192863E0,3.486499939E2,2.000000000E0,3.700000048E0
1.557985951E2,6.501952333E1,2.556816500E1,-8.474446050E0,3.294736862E0,3.543900146E2,2.000000000E0,3.700000048E0
1.568002559E2,6.501955333E1,2.556815500E1,-8.374453945E0,3.275692225E0,3.523599854E2,2.000000000E0,3.700000048E0
1.578013895E2,6.501957333E1,2.556814500E1,-8.674458841E0,3.228852510E0,3.435799866E2,2.000000000E0,3.700000048E0
1.587901612E2,6.501960500E1,2.556813167E1,-8.174466869E0,3.248926640E0,3.446700134E2,2.000000000E0,3.700000048E0
1.598018689E2,6.501963167E1,2.556812500E1,-8.374474133E0,3.241720438E0,3.459400024E2,2.200000048E0,3.700000048E0
1.607942061E2,6.501966000E1,2.556811000E1,-8.474480978E0,3.304002047E0,3.472200012E2,2.099999905E0,3.700000048E0
1.618029756E2,6.501968833E1,2.556809667E1,-8.274488008E0,3.319443703E0,3.520499878E2,2.099999905E0,3.700000048E0
1.627925990E2,6.501971667E1,2.556808500E1,-7.874495222E0,3.300398827E0,3.484899902E2,2.099999905E0,3.700000048E0
1.638035741E2,6.501974167E1,2.556807000E1,-7.674501068E0,3.304516554E0,3.487399902E2,2.000000000E0,3.799999952E0
1.648039027E2,6.501976833E1,2.556805167E1,-7.874507048E0,3.238632202E0,3.443599854E2,2.000000000E0,3.799999952E0
1.657958359E2,6.501979500E1,2.556802833E1,-7.474512476E0,3.190248251E0,3.448399963E2,2.000000000E0,3.799999952E0
1.667968462E2,6.501982167E1,2.556801333E1,-7.474518825E0,3.153702974E0,3.465700073E2,2.000000000E0,3.799999952E0
1.678068680E2,6.501984833E1,2.556800333E1,-7.374525726E0,3.133114100E0,3.511099854E2,2.000000000E0,3.799999952E0
1.688070175E2,6.501987167E1,2.556798500E1,-7.674530708E0,3.054361582E0,3.466000061E2,2.099999905E0,3.799999952E0
1.698021747E2,6.501989833E1,2.556796667E1,-7.774536691E0,3.007521868E0,3.426400146E2,2.099999905E0,3.799999952E0
1.708120809E2,6.501992833E1,2.556794833E1,-7.574543675E0,2.961196899E0,3.462500000E2,2.200000048E0,3.799999952E0
1.718095339E2,6.501996167E1,2.556792833E1,-7.174551478E0,2.910754204E0,3.414700012E2,2.099999905E0,3.799999952E0
1.728123502E2,6.501998833E1,2.556791167E1,-6.774557647E0,2.819648266E0,3.524200134E2,2.099999905E0,3.700000048E0
1.738051953E2,6.502001000E1,2.556789333E1,-6.774562132E0,2.662657976E0,3.432399902E2,2.099999905E0,3.700000048E0
1.748046479E2,6.502002333E1,2.556788333E1,-6.574565034E0,2.443901062E0,3.455499878E2,2.099999905E0,3.700000048E0
1.757968249E2,6.502003833E1,2.556787333E1,-6.374568436E0,2.211761475E0,3.526600037E2,2.000000000E0,3.599999905E0
1.768010609E2,6.502005000E1,2.556785667E1,-6.774570103E0,1.977562785E0,3.477500000E2,2.000000000E0,3.599999905E0
1.778080185E2,6.502005667E1,2.556785167E1,-6.874571554E0,1.732555032E0,3.551900024E2,2.000000000E0,3.599999905E0
1.787956142E2,6.502006000E1,2.556784833E1,-6.674572188E0,1.490120888E0,3.584599915E2,1.899999976E0,3.599999905E0
1.798033655E2,6.502006500E1,2.556784667E1,-5.774573506E0,1.238936424E0,1.053999996E1,1.899999976E0,3.599999905E0
