"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.440619140E-1,1.501999974E0,-2.533999920E0,3.086999893E0
9.490241290E-1,1.213000059E0,-2.596999884E0,2.770999908E0
9.539865140E-1,8.399999738E-1,-2.691999912E0,2.348999977E0
9.589486680E-1,8.180000186E-1,-2.709000111E0,1.886000037E0
9.639108900E-1,9.950000048E-1,-2.619999886E0,1.547000051E0
9.688732740E-1,1.304999948E0,-2.615999937E0,1.384999990E0
9.738352010E-1,1.460999966E0,-2.516999960E0,1.276999950E0
9.787975860E-1,1.682000041E0,-2.309999943E0,1.195999980E0
9.837598170E-1,2.009999990E0,-2.062999964E0,1.087000012E0
9.887219910E-1,2.418999910E0,-2.019999981E0,1.139999986E0
9.936843750E-1,2.446000099E0,-2.003999949E0,9.900000095E-1
9.986466060E-1,2.473999977E0,-1.945999980E0,1.001999974E0
1.003608712E0,2.556999922E0,-1.873000026E0,7.960000038E-1
1.008570943E0,2.369999886E0,-1.838000059E0,8.209999800E-1
1.013533327E0,2.415999889E0,-1.802999973E0,7.360000014E-1
1.018495251E0,2.312999964E0,-1.819000006E0,7.730000019E-1
1.023457635E0,2.144000053E0,-1.860000014E0,7.269999981E-1
1.028419842E0,1.975999951E0,-1.952999949E0,8.980000019E-1
1.033381996E0,1.865000010E0,-2.030999899E0,1.000000000E0
1.038344380E0,1.850000024E0,-2.065999985E0,1.059999943E0
1.043306529E0,1.945000052E0,-2.059000015E0,1.241999984E0
1.048268683E0,2.015000105E0,-2.078000069E0,1.615000010E0
1.053230894E0,1.990000010E0,-2.082999945E0,1.904999971E0
1.058193279E0,2.088000059E0,-2.073999882E0,1.868999958E0
1.063155432E0,2.091000080E0,-2.038000107E0,2.010999918E0
1.068117582E0,2.094000101E0,-2.003000021E0,1.881000042E0
1.073079813E0,2.013999939E0,-2.065000057E0,1.873999953E0
1.078041967E0,1.960000038E0,-2.019999981E0,1.703999996E0
1.083004371E0,1.904999971E0,-2.043999910E0,1.549000025E0
1.087966524E0,1.888000011E0,-2.082000017E0,1.434000015E0
1.092928707E0,2.006000042E0,-2.053999901E0,1.427999973E0
1.097890938E0,2.082000017E0,-1.889999986E0,1.246000051E0
1.102853323E0,2.197000027E0,-1.850000024E0,1.090999961E0
1.107815491E0,2.190000057E0,-1.756000042E0,9.359999895E-1
